fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
1;AG;635262;A;635262A;635320;262847;22.02.2019;Weber;WKMIII212_2_62;Wc;WY;Wmt;Wc53;Jura;510;0.05;0.29;62;Buchenwälder;Wald;254.8071066;
2;AG;635262;A;635262A;635320;262847;03.04.2019;Weber;WKMIII385_4_52;Wc;WY;Wmt;Wc53;Jura;510;0.05;0.29;62;Buchenwälder;Wald;254.8071066;
3;AG;635262;B;635262B;635849;262509;03.04.2019;Weber;WKMIII386_4_54;Dc;F_orUnknown;Dmt;Dc13;Jura;510;0.05;0.29;62;Buchenwälder;Wald;103.5139362;
4;AG;635262;C;635262C;635714;262751;06.02.2019;Weber;WKMIII134_2_1;Dc;F_orUnknown;Dmt;DcSec37;Jura;510;0.05;0.29;623;Waldmeister-Buchenwald;Wald;74.99964495;
5;AG;635262;C;635262C;635714;262751;22.02.2019;Weber;WKMIII214_2_66;Dc;DY;Dmt;;Jura;510;0.05;0.29;623;Waldmeister-Buchenwald;Wald;74.99964495;
6;AG;635262;C;635262C;635714;262751;20.03.2019;Weber;WKMIII340_6_41;Dc;DY;Dmt;Dc61;Jura;510;0.05;0.29;623;Waldmeister-Buchenwald;Wald;74.99964495;
7;AG;635262;C;635262C;635714;262751;03.04.2019;Weber;WKMIII387_4_59;Dc;DY;Dmt;Dc61;Jura;510;0.05;0.29;623;Waldmeister-Buchenwald;Wald;74.99964495;
8;AG;642251;C;642251C;642797;251837;16.02.2019;Begert;WKMIII168_2_20;Wc;WY;Wmt;Wc54;Jura;531;0.17;0.45;62;Buchenwälder;Wald;59.24857299;
9;AG;642251;C;642251C;642797;251837;16.03.2019;Begert;WKMIII313_3_69;Wc;F_orUnknown;Wmt;Wc18;Jura;531;0.17;0.45;62;Buchenwälder;Wald;59.24857299;
10;AG;642251;C;642251C;642797;251837;16.03.2019;Begert;WKMIII313_3_72;Dc;DY;Dmt;Dc63;Jura;531;0.17;0.45;62;Buchenwälder;Wald;59.24857299;
11;AG;642251;C;642251C;642797;251837;30.03.2019;Begert;WKMIII371_6_59;Dc;DY;Dmt;Dc63;Jura;531;0.17;0.45;62;Buchenwälder;Wald;59.24857299;
12;AG;644250;A;644250A;644194;250690;16.02.2019;Begert;WKMIII166_2_19;Dc;DY;Dmt;Dc65;Jura;483;0.01;0.88;622;Hainsimsen-Buchenwald;Wald;198.8500644;
13;AG;644250;A;644250A;644194;250690;02.03.2019;Begert;WKMIII263_3_30;Dc;DY;Dmt;Dc65;Jura;483;0.01;0.88;622;Hainsimsen-Buchenwald;Wald;198.8500644;
14;AG;644250;A;644250A;644194;250690;16.03.2019;Begert;WKMIII314_3_74;Dc;F_orUnknown;Dmt;Dc16;Jura;483;0.01;0.88;622;Hainsimsen-Buchenwald;Wald;198.8500644;
15;AG;644250;A;644250A;644194;250690;30.03.2019;Begert;WKMIII372_4_41;Dc;DY;Dmt;DcSec20;Jura;483;0.01;0.88;622;Hainsimsen-Buchenwald;Wald;198.8500644;
16;AG;644250;C;644250C;644564;250458;02.03.2019;Begert;WKMIII265_8_51;Dc;DY;Dmt;Dc66;Jura;483;0.01;0.88;62;Buchenwälder;Wald;275.3957433;
17;AG;644250;C;644250C;644564;250458;16.03.2019;Begert;WKMIII315_8_78;Dc;DY;Dmt;Dc66;Jura;483;0.01;0.88;62;Buchenwälder;Wald;275.3957433;
18;AG;644250;C;644250C;644564;250458;30.03.2019;Begert;WKMIII374_4_42;Dc;F_orUnknown;Dmt;DcSec38;Jura;483;0.01;0.88;62;Buchenwälder;Wald;275.3957433;
19;AG;644258;A;644258A;644396;258512;20.03.2019;Weber;WKMIII341_4_25;Dc;DY;Dmt;Dc67;Jura;518;0.06;0.33;62;Buchenwälder;Wald;65.66615207;
20;AG;647238;A;647238A;647146;238539;05.02.2019;Weber;WKMIII131_1_54;Dc;DY;Dmt;DcSec21;Plateau;532;0.04;0.32;624;Zahnwurz-Buchenwald;Wald;43.87299827;
21;AG;647238;C;647238C;647931;238931;16.04.2019;Weber;WKMIII415_9_30;Dc;DY;Dmt;Dc68;Plateau;532;0.04;0.32;62;Buchenwälder;Wald;78.43932483;
22;AG;650234;A;650234A;650179;234285;05.02.2019;Weber;WKMIII132_8_5;Dc;DY;Dmt;DcSec22;Plateau;663;0.17;0.26;624;Zahnwurz-Buchenwald;Wald;31.03980448;
23;AG;650234;A;650234A;650179;234285;19.02.2019;Weber;WKMIII204_2_56;Dc;DY;Dmt;Dc69;Plateau;663;0.17;0.26;624;Zahnwurz-Buchenwald;Wald;31.03980448;
